product_id,product_name,category,subcategory,brand,base_price,unit_cost,base_margin,stock_quantity,reorder_point,launch_date,discontinue_date,is_active,weight_kg
PRD0156,Nikon Battery Pack 7,Cameras & Photography,Camera Accessories,Nikon,289100,193300,0.331,32,15,2021-11-07,,True,7.37
PRD0057,Samsung Galaxy Book 1,Laptops & Computers,Laptops,Samsung,3173100,2875000,0.094,37,20,2019-03-08,2024-02-19,False,3.98
PRD0119,JBL SoundLink 2,Audio,Bluetooth Speakers,JBL,256400,183000,0.286,88,20,2022.09.25,,True,5.75
PRD0298,LG Neo QLED 3,TV & Displays,QLED TVs,LG,989600,888700,0.102,12,5,2020-06-25,,true,3.97
PRD0141,Bose QuietComfort 4,Audio,Over-Ear Headphones,Bose,700000,528600,0.245,116,20,2021-02-17,,True,6.29
PRD0061,Lenovo ThinkPad 2,Laptops & Computers,laptops,Lenovo,1162400,1039900,0.105,32,20,2023-08-23,,True,6.25
PRD0256,Xiaomi Air Purifier 11,Smart Home,Smart Appliances,Xiaomi,104800,84500,0.194,37,12,2021-03-12,,yes,3.33
PRD0027,Samsung Rugged Armor 11,Smartphones & Tablets,Phone Cases,Samsung,28400,15500,0.455,40,20,2023-04-22,,True,2.29
PRD0242,LG Ceiling Light Pro 6,Smart Home,Smart Lighting,LG,16200,10600,0.348,41,12,2021-12-23,,yes,6.66
PRD0081,Dell ThinkPad 7,Laptops & Computers,Laptops,Dell,555600,491000,0.116,16,20,2022-08-21,,True,1.77
PRD0066,Dell All-in-One 7,Laptops & Computers,Desktop PCs,Dell,2484600,2126700,0.144,39,20,2021-08-09,,True,1.07
PRD0042,OPPO Pad Pro 11,Smartphones & Tablets,Tablets,OPPO,427900,371300,0.132,58,20,2021-03-07,,yes,5.77
PRD0301,Hisense OLED G-Series 2,TV & Displays,OLED TVs,Hisense,1865600,1663700,10.8%,10,5,2020-01-02,,True,1.15
PRD0015,LG Clear Shield 4,Smartphones & Tablets,Phone Cases,LG,9100,4300,0.526,18,20,2023-02-24,,True,8.31
PRD0351,Corsair Facecam 7,Computer Peripherals,Webcams,Corsair,34000,24400,0.283,82,20,2020-04-11,,1,7.59
PRD0130,Sony Galaxy Buds 9,Audio,In-Ear Earbuds,Sony,92100,56600,0.386,28,20,2021-12-27,,True,2.05
PRD0266,Fitbit Galaxy Fit 5,Wearables,Fitness Bands,Fitbit,155400,118100,0.24,58,12,2023-04-05,,yes,2.14
PRD0290,Fitbit Mi Band 6,Wearables,Fitness Bands,Fitbit,48000,30400,0.367,37,12,2021-02-19,,True,5.74
PRD0142,AKG Galaxy Buds 11,Audio,In-Ear Earbuds,AKG,54800,34800,0.365,31,20,2020-07-05,2024-10-26,False,6.14
PRD0246,Google Ceiling Light Pro 10,Smart Home,Smart Lighting,Google,29600,18800,0.366,55,12,2023-12-14,,True,8.23
PRD0314,LG QNED 12,TV & Displays,QLED TVs,LG,2705400,2339000,0.135,20,5,2023-11-11,,True,5.91
PRD0383,Belkin Wall Bracket 3,Mobile Accessories,Phone Mounts,Belkin,12800,6800,0.471,80,20,2023-09-10,,True,7.32
PRD0241,XIAOMI MINI SMART SPEAKER 6,Smart Home,Smart Speakers,Xiaomi,101500,69600,0.315,25,12,2023-11-20,,True,5.15
PRD0309,Samsung OLED G-Series 10,TV & Displays,OLED TVs,Samsung,3774000,3367000,0.108,13,5,2021-03-06,,True,6.86
PRD0373,Anker Multi-Port Hub 5,MOBILE ACCESSORIES,Chargers & Cables,Anker,9000,5900,0.345,68,20,2022-07-27,,True,3.8
PRD0207,Razer BlackShark 5,Gaming,Gaming Headsets,Razer,91200,59900,0.343,26,10,2022-12-21,,True,8.44
PRD0145,Fujifilm D-Series 4,Cameras & Photography,DSLR Cameras,Fujifilm,1736900,1581100,0.09,161,15,2021-11-16,,True,7.94
PRD0338,Microsoft MX Master 3,Computer Peripherals,Mice & Trackpads,Microsoft,25800,16700,0.353,56,20,2023-04-02,,True,6.0
PRD0375,Samsung Car Vent Mount 2,Mobile Accessories,Phone Mounts,Samsung,41300,18900,0.543,95,20,2022-09-18,,True,3.9
PRD0397,Spigen GaN Charger 7,Mobile Accessories,Chargers & Cables,Spigen,14400,8000,0.445,75,20,2019-09-27,,True,6.83
PRD0053,Lenovo ThinkPad 9,Laptops & Computers,Laptops,Lenovo,2141400,1888200,0.118,65,20,2022-04-16,,True,4.15
PRD0278,Apple Mi Band 5,Wearables,Fitness Bands,Apple,101900,75400,0.26,49,12,2022.12.20,,TRUE,0.28
PRD0099,LG ViewFinity 11,Laptops and Computers,Monitors,LG,575200,₩492000,0.145,21,20,2021-10-12,,TRUE,7.74
PRD0029,Apple Find X 5,Smartphones & Tablets,Smartphones,Apple,324700,283200,0.128,48,20,2019-04-12,2023-09-23,False,5.22
PRD0042,OPPO Pad Pro 11,Smartphones & Tablets,Tablets,OPPO,427900,371300,0.132,58,20,2021-03-07,,yes,5.77
PRD0004,LG Tempered Glass 2,Smartphones & Tablets,Screen Protectors,LG,9200,4900,0.472,-2,20,2021-05-26,2023-09-04,False,0.72
PRD0023,Xiaomi Rugged Armor 8,Smartphones & Tablets,Phone Cases,Xiaomi,12700,7200,0.43,43,20,2019-07-01,,True,7.88
PRD0133,Bose WH-1000X 8,Audio,Over-Ear Headphones,Bose,160600,117500,0.268,49,20,2021-01-12,,True,3.95
PRD0341,Microsoft K-Series 4,Computer Peripherals,Keyboards,Microsoft,115500,77600,0.328,26,20,2021-07-17,2024-01-16,no,5.52
PRD0268,Xiaomi Smart Scale 12,Wearables,Health Monitors,Xiaomi,172700,124500,0.279,54,12,2023-06-19,,True,7.21
PRD0222,Logitech Arcade Stick 5,Gaming,Controllers & Accessories,Logitech,40100,30100,0.249,46,10,2021-04-16,,True,2.9
PRD0116,JBL HT-A 6,Audio,Soundbars,JBL,718900,530200,0.262,104,20,2021-02-27,2023-02-24,False,3.2
PRD0240,Xiaomi Smart Plug 4,Smart Home,Smart Appliances,Xiaomi,341900,260000,0.239,5,12,2022-08-04,,True,8.07
PRD0058,ASUS All-in-One 3,Laptops & Computers,Desktop PCs,ASUS,1214200,999200,0.177,13,20,2022-03-10,,yes,7.9
PRD0169,Sony EOS 9,Cameras & Photography,DSLR Cameras,Sony,529500,481000,0.092,152,15,2021-12-08,,True,7.61
PRD0090,LG Workstation 11,Laptops & Computers,Desktop PCs,LG,2366100,2115300,0.106,60,20,2022-05-11,,True,5.54
PRD0201,Nintendo PlayStation 11,Gaming,Gaming Consoles,Nintendo,660500,613800,0.071,32,10,2022-04-05,,True,6.37
PRD0188,Microsoft Mousepad XL 9,Gaming,Gaming Peripherals,Microsoft,48900,32200,0.341,48,10,2023-05-23,,True,4.18
PRD0354,Microsoft Magic Mouse 11,Computer Peripherals,Mice & Trackpads,Microsoft,50200,35700,0.289,103,20,2021-01-02,,True,3.2
PRD0391,Anker Bike Holder 8,Mobile Accessories,Phone Mounts,Anker,13700,7000,0.487,58,20,2020-03-24,,True,0.39
PRD0299,  Samsung CineBeam 3  ,TV & Displays,projectors,Samsung,1284200,1124500,0.124,30,5,2022-10-02,,true,2.82
PRD0103,Lenovo ProArt 2,Laptops & Computers,Monitors,Lenovo,610300,514000,0.158,38,20,2022-09-11,,True,5.52
PRD0244,Google Air Purifier 12,Smart Home,Smart Appliances,Google,202800,149100,26.5%,57,12,2021-05-27,,True,7.21
PRD0223,Razer Barracuda 8,Gaming,Gaming Headsets,Razer,56100,36600,0.347,37,10,2020-12-18,,True,8.42
PRD0178,Fujifilm X-Series 5,Cameras & Photography,Mirrorless Cameras,Fujifilm,1841100,1609400,0.126,69,15,2021-07-02,,True,3.11
PRD0284,Samsung Smart Scale 12,Wearables,Health Monitors,Samsung,54800,34400,0.373,12,12,2020-04-03,,yes,3.88
PRD0357,Razer K65 RGB 11,COMPUTER PERIPHERALS,Keyboards,Razer,296300,214900,0.275,113,20,2023-06-25,,True,3.46
PRD0372,ESR MagSafe Pad 1,Mobile Accessories,Wireless Accessories,ESR,57200,39700,0.307,106,20,2023-08-28,,True,4.2
PRD0247,Google Smart Cam 2,Smart Home,Home Security,Google,₩261000,183100,0.299,30,12,2021-11-20,2024-11-21,False,8.22
PRD0102,Lenovo All-in-One 2,Laptops & Computers,Desktop PCs,Lenovo,1703500,1531300,0.101,96,20,2022-08-12,,True,2.27
PRD0297,Sony OLED evo 7,TV & Displays,OLED TVs,Sony,2889200,2588400,0.104,27,5,2021-05-08,2022-03-25,False,4.99
PRD0293,Fitbit Watch Ultra 12,Wearables,Smartwatches,Fitbit,564000,411000,0.271,58,12,2020-01-14,2024-06-21,False,5.91
PRD0060,Dell NVMe SSD 10,Laptops & Computers,PC Components,Dell,312900,255100,0.185,53,20,2021-06-03,,True,0.16
PRD0217,Nintendo Xbox Series 6,gaming,Gaming Consoles,Nintendo,548000,485200,11.5%,15,10,2023-02-18,,True,0.49
PRD0075,Dell UltraSharp 7,Laptops & Computers,Monitors,Dell,190400,164100,0.138,49,20,2020-05-27,2022-03-26,False,5.08
PRD0080,Lenovo NVMe SSD 8,Laptops & Computers,PC Components,Lenovo,39100,32200,0.175,10,20,2020-07-28,,True,5.61
PRD0371,Belkin Car Vent Mount 7,Mobile Accessories,phone mounts,Belkin,32700,19600,0.4,117,20,2021-11-21,,True,7.03
PRD0165,Nikon K-Series 12,Cameras & Photography,DSLR Cameras,Nikon,450600,397500,0.118,64,15,2023-03-23,,True,6.76
PRD0082,Dell Tower PC 5,Laptops & Computers,Desktop PCs,Dell,892800,753600,15.6%,100,20,2020-11-20,,True,1.39
PRD0051,Apple Rugged Armor 12,Smartphones & Tablets,Phone Cases,Apple,11100,6700,0.393,17,20,2021-06-18,,True,1.8
PRD0368,Logitech T7 Shield 2,Computer Peripherals,External Storage,Logitech,88100,69700,0.209,58,20,2022-11-15,,TRUE,6.63
PRD0175,Canon HERO 1,Cameras & Photography,Action Cameras,Canon,168200,142800,0.151,103,15,2022-04-28,,True,7.94
PRD0366,Samsung DeathAdder 6,Computer Peripherals,Mice & Trackpads,Samsung,41000,29100,0.29,53,20,2022-12-03,,True,1.6
PRD0195,Sony Barracuda 8,Gaming,Gaming Headsets,Sony,58200,38400,0.34,39,10,2023-05-02,,True,5.14
PRD0224,Sony Mechanical KB 2,Gaming,Gaming Peripherals,Sony,339400,237500,0.3,17,10,2022-07-05,,true,0.62
PRD0054,Lenovo All-in-One 11,Laptops & Computers,DESKTOP PCS,Lenovo,1388600,1204800,0.132,78,20,2020-08-05,,True,0.28
PRD0363,Samsung StreamCam 6,Computer Peripherals,Webcams,Samsung,51500,42200,0.182,73,20,2019-02-27,,True,1.31
PRD0250,Samsung Hue Color 12,Smart Home,Smart Lighting,Samsung,14700,9800,0.333,35,12,2021-4-17,,1,0.87
PRD0370,Samsung Magnetic Pack 11,Mobile Accessories,Power Banks,Samsung,37700,23800,0.37,38,20,2022-12-19,,True,8.31
PRD0304,Samsung TV Remote Pro 11,TV & Displays,TV Accessories,Samsung,26700,16800,0.371,7,5,2023-05-09,,True,0.34
PRD0379,Spigen Desk Stand 8,Mobile Accessories,Phone Mounts,Spigen,43800,26800,0.388,117,20,2021-07-02,,True,5.73
PRD0285,Xiaomi Galaxy Watch 5,Wearables,Smartwatches,Xiaomi,339300,251400,0.259,27,12,2020-01-23,2022-03-16,False,4.47
PRD0274,Samsung Galaxy Fit 12,Wearables,Fitness Bands,Samsung,57600,43800,0.239,19,12,2023-12-05,,True,3.29
PRD0067,LG ProArt 2,Laptops & Computers,Monitors,LG,703000,565200,0.196,45,20,2022-04-07,,True,6.17
PRD0163,Nikon Osmo Action 2,Cameras & Photography,Action Cameras,Nikon,104800,90700,0.135,86,15,2021-09-04,,True,6.0
PRD0174,Nikon EOS R 7,Cameras & Photography,Mirrorless Cameras,Nikon,632000,567400,0.102,88,15,2022-06-08,,True,3.85
PRD0112,AKG S-Series 10,Audio,Soundbars,AKG,88400,64200,0.274,13,20,2023-09-10,,true,0.56
PRD0398,Spigen Ultra-Thin Bank 1,Mobile Accessories,Power Banks,Spigen,36300,23200,0.361,108,20,2021-02-04,,True,4.6
PRD0085,Dell Inspiron 12,Laptops & Computers,Laptops,Dell,2767500,2378700,0.14,74,20,2021-07-11,,True,2.31
PRD0182,Logitech Pro Controller 10,Gaming,Controllers & Accessories,Logitech,56800,38400,0.324,4,10,2022-12-19,,True,3.16
PRD0339,Razer Facecam 8,Computer Peripherals,Webcams,Razer,96000,71400,0.256,86,20,2020-01-08,,True,3.82
PRD0100,ASUS CPU Cooler 3,Laptops & Computers,PC Components,ASUS,54700,42200,0.229,44,20,2023-06-17,,True,7.07
PRD0033,OPPO Reno 7,Smartphones & Tablets,Smartphones,OPPO,756500,674100,0.109,116,20,2023/12/05,,True,3.17
PRD0148,Nikon SD Card Pro 3,Cameras & Photography,Camera Accessories,Nikon,11400,7000,0.388,134,15,2021-03-25,,True,5.25
PRD0016,OPPO Privacy Guard 3,Smartphones & Tablets,Screen Protectors,OPPO,14500,6000,0.589,37,20,2020-09-28,,TRUE,7.9
PRD0265,Apple Fenix 12,Wearables,Smartwatches,Apple,150900,113400,0.249,13,12,2023-09-22,,True,8.19
PRD0296,Samsung BP Monitor 9,Wearables,health monitors,Samsung,27200,17600,0.351,13,12,2019-10-02,,True,2.05
PRD0322,TCL QNED 10,tv & displays,QLED TVs,TCL,2402400,2183800,0.091,20,5,2020-04-07,,true,6.15
PRD0238,Xiaomi Ceiling Light Pro 1,Smart Home,Smart Lighting,Xiaomi,22000,14400,0.346,15,12,2019-09-08,,True,5.84
PRD0087,ASUS FlatronW 9,Laptops & Computers,Monitors,ASUS,328700,264700,0.195,39,20,2023-12-08,,True,7.28
PRD0038,Apple Galaxy Tab S 11,Smartphones & Tablets,Tablets,Apple,271100,236900,0.126,61,20,2023-05-12,,TRUE,5.79
PRD0003,Xiaomi Thin Fit 5,Smartphones & Tablets,Phone Cases,Xiaomi,46300,30000,0.351,29,20,2022-12-14,,1,1.87
PRD0063,LG Odyssey 10,Laptops & Computers,Monitors,LG,533700,453500,0.15,55,20,2019-06-06,,True,6.79
PRD0140,Samsung HW-Q Series 11,Audio,Soundbars,Samsung,374600,284300,0.241,53,20,2019-05-06,,True,8.06
PRD0166,Canon Alpha 4,Cameras & Photography,Mirrorless Cameras,Canon,2066900,1872200,0.094,139,15,2021-06-18,,True,6.84
PRD0315,Hisense TK-Series 4,TV and Displays,Projectors,Hisense,925900,773000,16.5%,8,5,2021-12-23,,True,6.21
PRD0074,ASUS Mini PC 4,Laptops & Computers,Desktop PCs,ASUS,678200,595000,0.123,43,20,2023-02-22,,True,6.71
PRD0194,Sony DualSense 11,Gaming,controllers & accessories,Sony,89200,64200,0.28,14,10,2022-01-06,,True,7.94
PRD0105,Samsung Live 8,Audio,Over-Ear Headphones,Samsung,133100,83600,0.372,103,20,2022-09-14,,True,1.36
PRD0275,Samsung Echo Frames 6,Wearables,Smart Glasses,Samsung,249700,188600,0.245,14,12,2021-03-21,,True,0.63
PRD0017,Apple Reno 5,Smartphones & Tablets,Smartphones,Apple,549600,465100,0.154,38,20,2021-09-15,,True,0.59
PRD0233,Samsung Nest Audio 1,Smart Home,Smart Speakers,Samsung,58500,41800,0.285,43,12,2019/10/25,,1,3.4
PRD0089,Lenovo Galaxy Book 3,Laptops & Computers,Laptops,Lenovo,1328800,1167600,0.121,68,20,2023-08-04,,True,0.18
PRD0221,Razer Switch 4,Gaming,Gaming Consoles,Razer,452500,416800,0.079,19,10,2022-04-24,,true,4.73
PRD0103,Lenovo ProArt 2,Laptops & Computers,Monitors,Lenovo,610300,514000,0.158,38,20,2022-09-11,,True,5.52
PRD0171,Canon Osmo Action 11,Cameras & Photography,Action Cameras,Canon,₩306200,247400,0.192,27,15,2021-10-02,,True,0.74
PRD0071,Dell ViewFinity 3,Laptops and Computers,Monitors,Dell,204600,170800,0.165,63,20,2021-04-04,,True,5.17
PRD0134,Sony Galaxy Buds 6,Audio,In-Ear Earbuds,Sony,241600,178400,0.262,59,20,2023-02-20,,TRUE,3.96
PRD0205,Razer Xbox Series 9,Gaming,Gaming Consoles,Razer,466800,425000,0.089,4,10,2022-11-26,,1,3.4
PRD0234,Xiaomi Hue Color 11,Smart Home,Smart Lighting,Xiaomi,21000,11600,0.449,32,12,2021-06-18,,True,1.62
PRD0146,Sony EOS R 2,Cameras & Photography,Mirrorless Cameras,Sony,1962400,1773300,0.096,76,15,2023-03-27,,True,6.95
PRD0272,Garmin Blood Glucose Meter 5,Wearables,Health Monitors,Garmin,24800,17900,0.278,51,12,2019-11-21,2023-11-10,False,5.96
PRD0019,Xiaomi Leather Wallet 9,smartphones & tablets,Phone Cases,Xiaomi,10700,5000,0.537,113,20,2022-08-08,,True,3.49
PRD0317,LG OLED evo 12,TV & Displays,OLED TVs,LG,922600,848000,0.081,24,5,2021-11-03,,True,5.45
PRD0021,Xiaomi Reno 6,Smartphones & Tablets,Smartphones,Xiaomi,1214300,1082300,0.109,41,20,2020-09-15,2022-05-15,False,7.44
PRD0056,Lenovo GPU 7,Laptops & Computers,PC Components,Lenovo,63900,53800,0.158,54,20,2019-09-02,,True,1.94
PRD0236,LG Smart Humidifier 6,Smart Home,Smart Appliances,LG,165500,133900,0.191,11,12,2023-08-12,,True,1.17
PRD0351,Corsair Facecam 7,Computer Peripherals,Webcams,Corsair,34000,24400,0.283,82,20,2020-04-11,,1,7.59
PRD0294,Samsung Amazfit Band 1,Wearables,Fitness Bands,Samsung,126600,91100,0.28,20,12,2022-05-04,,True,3.6
PRD0255,Xiaomi Smart Lock 10,Smart Home,Home Security,Xiaomi,90500,70800,0.217,48,12,2021-08-20,,1,6.02
PRD0151,Canon Osmo Action 5,Cameras & Photography,Action Cameras,Canon,215800,179300,0.169,41,15,2020-07-06,,True,4.47
PRD0158,Fujifilm EOS R 9,Cameras & Photography,Mirrorless Cameras,Fujifilm,₩806300,737800,0.085,66,15,2021-07-20,,yes,4.66
PRD0325,Samsung Bravia OLED 2,TV & Displays ,OLED TVs,Samsung,1407700,1289700,0.084,20,5,2021-11-09,,True,3.32
PRD0295,Samsung RayBan Meta 12,Wearables,Smart Glasses,Samsung,221100,175400,0.207,28,12,2020-09-14,,True,3.92
PRD0098,Samsung Workstation 5,Laptops & Computers,Desktop PCs,Samsung,1657500,1461200,0.118,42,20,2022-04-21,,True,5.78
PRD0327,Samsung CineBeam 11,TV & Displays,Projectors,Samsung,441400,378100,0.143,29,5,2023-10-08,,True,3.32
PRD0155,Canon HERO 12,Cameras & Photography,Action Cameras,Canon,401800,338900,0.157,30,15,2021-01-26,,True,2.72
PRD0123,Sony SRS-XB 3,Audio,Bluetooth Speakers,Sony,250600,198600,0.207,87,20,2019-08-22,,True,3.79
PRD0114,JBL FreeBuds 7,Audio,In-Ear Earbuds,JBL,393600,263900,33.0%,99,20,2021-10-14,,True,1.02
PRD0203,Logitech BlackShark 9,Gaming,Gaming Headsets,Logitech,98400,65700,0.333,39,10,2019-10-04,2024-09-07,false,4.58
PRD0271,Fitbit Echo Frames 2,Wearables,Smart Glasses,Fitbit,544100,422400,0.224,13,12,2021-07-07,,True,7.5
PRD0109,Samsung WH-1000X 9,Audio,Over-Ear Headphones,Samsung,86400,64400,0.255,86,20,2023-06-25,,True,0.07
PRD0380,Samsung Wireless Stand 8,Mobile Accessories,Wireless Accessories,Samsung,59000,32900,0.443,16,20,2020-08-01,,TRUE,4.72
PRD0095,ASUS Odyssey 5,Laptops & Computers,Monitors,ASUS,600200,485000,0.192,19,20,2021-05-22,,True,3.78
PRD0386,ESR Magnetic Pack 7,Mobile Accessories,Power Banks,ESR,101900,67400,0.339,35,20,2019-03-02,,True,2.31
PRD0126,Bose Elite 3,Audio,In-Ear Earbuds,Bose,29500,19800,0.33,55,20,2020-09-27,,True,0.66
PRD0254,Google Hue Color 9,Smart Home,Smart Lighting,Google,16600,11000,0.335,38,12,2021-05-22,,True,8.21
PRD0396,  Samsung MagSafe Pad 11  ,Mobile Accessories,Wireless Accessories,Samsung,30800,20900,0.321,97,20,2022-10-08,,True,7.53
PRD0092,ASUS DDR5 RAM 12,Laptops & Computers,PC Components,ASUS,39300,29600,0.248,31,20,2022-12-28,,True,5.91
PRD0394,ESR Slim Power 3,Mobile Accessories,Power Banks,ESR,57100,35200,0.384,54,20,2020-09-18,,True,1.92
PRD0347,Razer Kiyo Pro 11,Computer Peripherals,Webcams,Razer,102700,74500,0.274,118,20,2023-11-12,,True,1.49
PRD0270,Garmin Amazfit Band 9,Wearables,Fitness Bands,Garmin,89800,61900,0.311,7,12,2021-06-22,,True,0.89
PRD0213,Logitech Switch 10,Gaming,Gaming Consoles,Logitech,529700,478300,0.097,36,10,2021-05-05,,1,1.92
PRD0189,Razer Switch 9,Gaming,Gaming Consoles,Razer,668600,597900,0.106,27,10,2021-02-19,,True,7.62
PRD0337,Microsoft Apex Pro 1,Computer Peripherals,Keyboards,Microsoft,80700,60900,0.245,118,20,2021-09-13,,True,4.48
PRD0025,Samsung Find X 12,Smartphones & Tablets,Smartphones,Samsung,729100,612600,0.16,119,20,2019-10-16,,True,4.54
PRD0264,Fitbit Blood Glucose Meter 10,Wearables,Health Monitors,Fitbit,27600,20600,0.253,22,12,2020-01-19,,True,5.09
PRD0377,Spigen GaN Charger 2,Mobile Accessories,chargers & cables,Spigen,46000,30200,0.344,76,20,2021-11-26,,TRUE,3.21
PRD0127,Sony Boombox 1,Audio,Bluetooth Speakers,Sony,109400,86200,0.212,91,20,2021-07-19,,True,3.58
PRD0335,Samsung TK-Series 5,tv & displays,Projectors,Samsung,409200,340700,0.167,10,5,2023-11-04,,True,1.19
PRD0079,Samsung Odyssey 6,Laptops & Computers,Monitors,Samsung,350600,299500,0.146,73,20,2020-03-11,,True,2.49
PRD0208,Razer Wrist Rest 7,Gaming,Gaming Peripherals,Razer,61600,43000,0.302,25,10,2022-09-05,,True,1.05
PRD0179,Nikon HERO 7,Cameras & Photography,Action Cameras,Nikon,246800,202100,0.181,52,15,2021-10-22,,True,8.29
PRD0232,Samsung Smart Plug 3,Smart Home,Smart Appliances,Samsung,249200,187400,0.248,53,12,2023-11-18,,True,6.3
PRD0288,Apple Smart Scale 3,Wearables,Health Monitors,Apple,36000,27500,0.236,37,12,2022-12-04,,True,0.07
PRD0306,Hisense QNED 11,TV and Displays,QLED TVs,Hisense,2964500,2614500,0.118,18,5,2019-07-26,,True,4.65
PRD0343,Corsair Facecam 4,Computer Peripherals,Webcams,Corsair,87900,64900,0.261,75,20,2023-07-19,,True,8.5
PRD0378,Samsung PowerCore 3,Mobile Accessories,Power Banks,Samsung,53900,32900,0.39,35,20,2022-07-04,,True,1.63
PRD0062,ASUS Workstation 8,laptops & computers,Desktop PCs,ASUS,888600,747800,0.158,45,20,2021-04-27,,TRUE,7.5
PRD0345,Razer K-Series 3,Computer Peripherals,Keyboards,Razer,81200,60200,0.258,97,20,2019-10-13,,True,1.23
PRD0094,LG Tower PC 3,Laptops & Computers,Desktop PCs,LG,462300,383900,0.17,28,20,2022-04-16,,True,2.01
PRD0332,TCL HDMI Cable 7,TV & Displays,TV Accessories,TCL,14100,8300,0.413,6,5,2022-02-04,,True,6.69
PRD0228,Xiaomi Smart Humidifier 8,Smart Home,Smart Appliances,Xiaomi,249700,175100,0.299,46,12,2020-11-27,,True,8.43
PRD0070,Lenovo Workstation 6,Laptops & Computers,Desktop PCs,Lenovo,560800,502400,0.104,61,20,2023-08-04,,True,4.21
PRD0037,Samsung Redmi Note 1,Smartphones & Tablets,Smartphones,Samsung,1361600,1201200,0.118,111,20,2023-08-12,,True,7.41
PRD0041,APPLE GALAXY Z FOLD 7,Smartphones & Tablets,Smartphones,Apple,287000,243000,0.153,102,20,2021-06-22,,True,7.66
PRD0161,Canon EOS 3,Cameras & Photography,DSLR Cameras,Canon,1894500,1653000,0.127,113,15,2021-03-03,,True,3.11
PRD0359,Razer C-Series 10,Computer Peripherals,Webcams,Razer,296300,219400,0.259,63,20,2022-01-02,,TRUE,3.8
PRD0012,OPPO Tempered Glass 11,Smartphones & Tablets ,Screen Protectors,OPPO,15900,7400,0.536,24,20,2022-05-25,,True,2.53
PRD0145,Fujifilm D-Series 4,Cameras & Photography,DSLR Cameras,Fujifilm,1736900,1581100,0.09,161,15,2021-11-16,,True,7.94
PRD0282,Samsung Galaxy Fit 7,Wearables,Fitness Bands,Samsung,78400,53300,0.321,10,12,2021-07-14,,True,5.46
PRD0288,Apple Smart Scale 3,Wearables,Health Monitors,Apple,36000,27500,0.236,37,12,2022-12-04,,True,0.07
